File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
1d593b34-eba1-4e6e-b9b4-8222a7c9841e	167b15d4-cb5c-44d0-a04a-e4e9576d1be3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A2IN	TCGA-AX-A2IN-01A	Tumor	Primary	Solid Tissue	Unknown
cf566333-ed76-49ad-a6f9-541e5142b4cb	2276c28c-bc2c-4b46-a3bc-8e0bfd230435.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BK-A13C	TCGA-BK-A13C-01A	Tumor	Primary	Solid Tissue	Unknown
c26da8f6-7d49-4212-af23-311e8459018e	235b04f8-cfb4-49ab-93c0-e9dd4cbe4e46.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AP-A0LN	TCGA-AP-A0LN-01A	Tumor	Primary	Solid Tissue	OCT
60868046-5b03-475b-bfa9-bb7d059e86fe	0c2dc588-b89c-4a9a-9230-670c6a6af744.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A0MQ	TCGA-BG-A0MQ-01A	Tumor	Primary	Solid Tissue	OCT
018a1b3f-5d84-4860-a9e4-5a8cc51f148f	fd911aa9-122f-4d85-8a59-6a6c032b69f8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EO-A2CG	TCGA-EO-A2CG-01A	Tumor	Primary	Solid Tissue	Unknown
91a25d12-51b4-44a3-85f6-2a1f8884f7a9	c49be39e-dc30-440f-88c1-1aa5b05bc505.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A11G	TCGA-B5-A11G-01A	Tumor	Primary	Solid Tissue	OCT
790e57ef-2776-4940-9078-76cd5ddd0d57	b7af276a-b8f5-4a3c-8cbd-121186f11c36.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A0MK	TCGA-BG-A0MK-01A	Tumor	Primary	Solid Tissue	OCT
5b00073b-7418-4a0a-b2bc-b722a93d7276	864b0ef0-a8f3-4944-84c3-09c2ae8e865d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A16F	TCGA-D1-A16F-01A	Tumor	Primary	Solid Tissue	Unknown
7c98e78d-8caa-40a2-868a-91edd62b005c	3229e473-fae5-4ea0-86ba-88958beb8e06.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A3G8	TCGA-AX-A3G8-01A	Tumor	Primary	Solid Tissue	Unknown
d5a7de40-84b2-4e9f-b2bd-aad844166042	243b00db-d908-46ff-94fb-4c018b519abe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BS-A0V4	TCGA-BS-A0V4-01A	Tumor	Primary	Solid Tissue	Unknown
a803ec34-fc49-48de-9026-1472c587c3d6	245a08d4-fcda-4bbf-b213-6e815d914e1d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-SJ-A6ZJ	TCGA-SJ-A6ZJ-01A	Tumor	Primary	Solid Tissue	Unknown
a83a3048-3078-4015-a0c2-75bbe3c92b73	829c5a9a-cc8f-48f9-8a44-7abe9e57d67f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-DF-A2KN	TCGA-DF-A2KN-01A	Tumor	Primary	Solid Tissue	Unknown
c2029f61-30a0-49ce-addb-6eadeb16ca68	af1598cb-dea5-45dd-861b-8c0df85f8951.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A05T	TCGA-AX-A05T-01A	Tumor	Primary	Unknown	Unknown
7589b467-4e65-44cd-b6d2-d03aad998e8f	3394c05b-c0bc-4da1-812c-852a4030d53a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BK-A0CA	TCGA-BK-A0CA-01B	Tumor	Primary	Solid Tissue	FFPE
af8938a9-a456-48eb-bbfa-bb0ebf363912	36bbd5d9-b082-4cb7-9a72-2dbf857cd5f0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AJ-A3OK	TCGA-AJ-A3OK-01A	Tumor	Primary	Solid Tissue	Unknown
3ce2cc4f-eefa-4510-b7e5-95a173953755	29774d01-31ba-4ef6-a0cd-fc405ca38efe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AP-A056	TCGA-AP-A056-01A	Tumor	Primary	Unknown	OCT
6f001954-be85-4590-a3cb-51dd7f8ec664	f897b817-b897-4259-a41c-053cd6c2fc60.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-A5-A0GE	TCGA-A5-A0GE-01A	Tumor	Primary	Solid Tissue	OCT
a8569b16-beb6-4d8c-ba39-ffbfd1769663	e0ad3f97-ddf5-40d6-abbd-2e0770b755bc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BK-A26L	TCGA-BK-A26L-01A	Tumor	Primary	Solid Tissue	Unknown
8fe816e4-57fc-4aac-a726-f0172f72d206	2350d875-e719-4d8e-94ca-ec1c29fac3ca.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AJ-A2QM	TCGA-AJ-A2QM-01A	Tumor	Primary	Solid Tissue	Unknown
4c144f6f-6ed6-4ab7-96f8-08b64d457393	c69e5a23-af0c-48b7-b8f5-3c1075974812.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A1CP	TCGA-AX-A1CP-01A	Tumor	Primary	Solid Tissue	Unknown
dc3547dd-1987-4cf6-aaf2-83205c074cb1	9c2dbecc-f1db-4b43-88e5-e6898bb9a4b0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A160	TCGA-D1-A160-01A	Tumor	Primary	Solid Tissue	Unknown
1e7ee089-e1b0-4ad2-85f0-12bce013fb07	d340b888-151f-443f-950b-f9e5555509fa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-DI-A1BU	TCGA-DI-A1BU-01A	Tumor	Primary	Solid Tissue	Unknown
253fd4e3-fd0b-495c-9d24-2739a01f9437	b5c1b64f-e2ef-4e89-84d1-0de8171ee3e6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A16E	TCGA-D1-A16E-01A	Tumor	Primary	Solid Tissue	Unknown
2bf36ab4-23ae-473d-bca3-af8b836e4fb8	6399dc78-5784-490f-a20d-998554980012.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A0ZN	TCGA-D1-A0ZN-01A	Tumor	Primary	Solid Tissue	Unknown
008b9e19-c1d3-4c9c-af36-791ec4cc27e8	06b9f277-ecaf-4f26-9992-b2b343c64592.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EY-A1GI	TCGA-EY-A1GI-01A	Tumor	Primary	Solid Tissue	Unknown
202172c7-6d00-44b4-b79d-26a11ec999d7	f88b3d7d-3895-4050-b370-656d0919bd8f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A1N2	TCGA-B5-A1N2-01A	Tumor	Primary	Unknown	OCT
0e083e46-b0ea-431e-aaff-bee4aabf2e28	acdfe319-b98d-4208-b528-6841ab3514b0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AP-A0LE	TCGA-AP-A0LE-01A	Tumor	Primary	Solid Tissue	OCT
3e82a1ee-7097-4ec5-98b2-bdda15833106	1a35e230-2471-4965-8b00-7c1ae932d3a8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A0M7	TCGA-BG-A0M7-01A	Tumor	Primary	Solid Tissue	OCT
e8cb163d-4b97-467b-b4ce-49fb97bd7ad7	bc0b8c97-4f8e-4916-bebe-267f4b55460f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A11O	TCGA-B5-A11O-01A	Tumor	Primary	Solid Tissue	OCT
16c65722-8c8d-4db2-a8dc-c095b100b791	a9905756-47e4-4ecf-9122-dca6f41b0f6f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EC-A1NJ	TCGA-EC-A1NJ-01A	Tumor	Primary	Solid Tissue	OCT
38d7b412-8f4e-4704-968b-73ef703a3820	050131af-3dbe-4243-afb4-3d244b3c811f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A1NX	TCGA-D1-A1NX-01A	Tumor	Primary	Solid Tissue	Unknown
0a5a5910-9029-4a8d-b982-8977437544f1	d8ad017c-bf83-42cf-9d46-4f47c8d28a8f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A1C9	TCGA-AX-A1C9-01A	Tumor	Primary	Solid Tissue	Unknown
492c76bc-d62e-4cd2-9c33-763dbccb553e	12f84876-ebc4-4d39-bd44-3a73cbb82650.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FL-A1YI	TCGA-FL-A1YI-11A	Normal	Not Applicable	Solid Tissue	Unknown
903d6043-027d-40aa-9cbd-55d0e23ee4b4	a4bf94ae-15f5-46ff-8eff-8d26a4d04150.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A161	TCGA-D1-A161-01A	Tumor	Primary	Solid Tissue	Unknown
0fa184de-42ca-4f6c-9952-641676adbeac	d512620a-6a4e-4f8b-88a7-3dbad09b951d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A11U	TCGA-B5-A11U-01A	Tumor	Primary	Solid Tissue	OCT
aa865cf8-d200-4a6f-a9d3-a4d212690207	9b2a6e97-406d-4f56-8501-724de5137139.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A2IO	TCGA-AX-A2IO-01A	Tumor	Primary	Solid Tissue	Unknown
90b8b75d-3d92-402a-b988-91d15987a5b9	d5751803-11a6-484f-af04-4e234db3c5de.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AP-A0LS	TCGA-AP-A0LS-01A	Tumor	Primary	Solid Tissue	OCT
62e32fe8-61a1-44a3-a8e8-0ef3f4f5fd89	e123d08f-fa8d-470a-999d-174f5c0dc04a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FL-A1YT	TCGA-FL-A1YT-11A	Normal	Not Applicable	Solid Tissue	Unknown
f679fb26-4531-4344-baff-b7bc505c2083	4056b190-7cec-46d3-a4ee-6f76934ba58d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AP-A05N	TCGA-AP-A05N-01A	Tumor	Primary	Unknown	OCT
ed2fd464-0242-46d0-a8ee-e444a7c4d23d	bd4fa75d-d413-419e-b203-ee7b3df1d1f4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A1CF	TCGA-AX-A1CF-11A	Normal	Not Applicable	Solid Tissue	Unknown
9067b981-71be-4bc7-a61a-f97ebaeb7e4c	a6cd4b64-d26c-47ae-8e30-f07be795ba2e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A2L7	TCGA-BG-A2L7-01A	Tumor	Primary	Solid Tissue	OCT
6e39b83b-c96e-4ae4-be17-04aac83cc698	29ddc0f0-206c-460b-92e7-f27f244799be.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A0JV	TCGA-B5-A0JV-01A	Tumor	Primary	Solid Tissue	OCT
470fa1b7-24d0-404d-9f6f-7b393fc53dd2	9ad325c0-6240-415b-9c7e-152814e8917f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-SL-A6JA	TCGA-SL-A6JA-01A	Tumor	Primary	Solid Tissue	OCT
818c3df4-cee4-4aab-a58f-a41c5f0a778d	ef23aadc-bbe0-4070-b3b1-4e5d84b0e0ea.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A0IS	TCGA-AX-A0IS-01A	Tumor	Primary	Solid Tissue	Unknown
dfbb98da-16ce-4b60-8cee-5dc61d316ef1	3d05e9c9-36ba-445f-a51d-b4091f8d38b4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BS-A0V8	TCGA-BS-A0V8-01A	Tumor	Primary	Solid Tissue	Unknown
f43d3098-226b-4cef-a8ed-133fe1e74eb8	9afd63d7-b2ad-4b3a-9b31-fd1e9cb397a9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BK-A0CC	TCGA-BK-A0CC-01B	Tumor	Primary	Unknown	FFPE
f64b76cc-53ab-456f-b74d-2829b3c96f7f	2c72d011-d410-4fed-be75-6d2d1a0e5d68.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BS-A0U7	TCGA-BS-A0U7-01A	Tumor	Primary	Solid Tissue	Unknown
1a629b46-3e82-43dc-9f3b-6b3a5e85a314	c84c0a5d-40be-4488-b16a-f17076fbaa51.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A222	TCGA-BG-A222-01A	Tumor	Primary	Unknown	OCT
b1562e38-2b12-4c15-adde-932e49a99a44	73f5210f-43d7-4859-89ba-5ef66f7bf66d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A167	TCGA-D1-A167-01A	Tumor	Primary	Solid Tissue	Unknown
7554f720-0fac-4c8c-999d-fc4887f0aa3a	e8789595-7a45-497f-8d41-ef297d9b3378.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A1CA	TCGA-AX-A1CA-01A	Tumor	Primary	Solid Tissue	Unknown
3c01bb65-f676-4252-a26d-c0de08a4be15	60da62bd-de6d-4b19-b56f-e5cea1146588.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FI-A2D4	TCGA-FI-A2D4-01A	Tumor	Primary	Solid Tissue	OCT
6110f928-4c13-4f8e-8103-099d9c1cc0c3	e19310ac-8dda-4550-8f1e-6c393edac919.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AJ-A3BF	TCGA-AJ-A3BF-01A	Tumor	Primary	Solid Tissue	Unknown
94c9f176-bb31-484b-9640-9ef3f69830ff	7bbee063-8892-4e22-add3-77bfabbfd0ad.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A3FZ	TCGA-AX-A3FZ-01A	Tumor	Primary	Solid Tissue	Unknown
b17237d9-5411-41d9-b99a-c16ba750bb87	86a0a3ab-d3bc-4897-b6ed-97246cccc122.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EO-A3B0	TCGA-EO-A3B0-01A	Tumor	Primary	Solid Tissue	Unknown
eca29036-cbff-4f47-adfe-2f24d52cc889	b9d646c1-50ea-4bc9-9693-349207a8b348.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A2HC	TCGA-AX-A2HC-11A	Normal	Not Applicable	Solid Tissue	Unknown
6fe5574a-ac35-4540-85ba-b84a01ea2b32	b242d26d-5e52-4d99-816f-e1cae3a36917.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A2HC	TCGA-AX-A2HC-01A	Tumor	Primary	Solid Tissue	Unknown
c52b5c26-2394-4824-9fc2-fad2efea02b2	8e5575ad-3be4-46f9-a12b-c45db5fd677f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FL-A1YQ	TCGA-FL-A1YQ-11A	Normal	Not Applicable	Solid Tissue	Unknown
c22ff76d-6e7b-4b87-b027-a187009ed573	9ae6e738-0411-4974-925a-8eee9eebdb47.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A16I	TCGA-D1-A16I-01A	Tumor	Primary	Solid Tissue	Unknown
6a14529a-e2f4-41fd-a078-c958a1d41de2	3a39e135-430b-4858-aa0a-54d3a68db335.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AJ-A3BK	TCGA-AJ-A3BK-01A	Tumor	Primary	Solid Tissue	Unknown
e43123cb-ed5e-4c97-b2f1-5334d7179365	4999a004-b9d4-4f1a-95a9-24ba6c2888ad.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AP-A0LV	TCGA-AP-A0LV-01A	Tumor	Primary	Solid Tissue	OCT
971a6dfe-77ff-432a-a49c-afd6b2e54035	4c9805fe-06f6-44e9-bec8-2c62a813b2cb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EO-A1Y5	TCGA-EO-A1Y5-01A	Tumor	Primary	Unknown	Unknown
ee8622b3-9a5d-4c88-a85c-1d6b2793808e	93e213e6-fb7d-4a3a-906b-f297bef94e8b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FL-A1YL	TCGA-FL-A1YL-11A	Normal	Not Applicable	Solid Tissue	Unknown
b352b255-08e9-4554-a26c-2854bb33f4fa	cb5a1aac-6103-47b4-bfdf-b73ce075edbf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A17K	TCGA-D1-A17K-01A	Tumor	Primary	Solid Tissue	Unknown
8719f8bc-d196-4f4e-b2c2-ed86ad5d8c46	ecc7f525-2fd2-4a5d-b7ba-953e1e26d00a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A0VV	TCGA-BG-A0VV-01A	Tumor	Primary	Solid Tissue	OCT
